phi;theta;psi
0,145;0,048;3,837
-0,484;0,112;4,555
-0,125;0,212;3,771
0,499;-0,082;4,269
-0,447;-0,151;3,879
-0,54;-0,112;4,182
0,197;-0,17;4,003
-0,428;0,328;3,953
0,277;0,262;3,968
0,296;0,294;4,517
0,158;0,075;4,475
0,394;-0,411;4,082
-0,21;0,248;4,597
0,13;-0,35;4,9
-0,286;0,103;4,374
-0,214;0,36;4,123
-0,409;-0,199;4,601
-0,531;-0,099;4,07
-0,311;0,176;4,827
-0,18;-0,416;4,114
0,047;-0,128;4,352
0,328;0,185;4,44
-0,127;-0,028;4,313
-0,385;-0,04;4,245
0,483;0,455;4,13
0,194;0,508;4,492
0,246;-0,059;4,583
0,464;0,322;4,67
-0,493;0,055;4,737
-0,545;-0,357;4,024
-0,288;0,471;4,79
0,051;-0,17;3,967
-0,151;0,186;4,832
0,047;0,278;4,887
-0,444;-0,479;4,263
-0,08;0,07;3,974
-0,31;0,121;4,005
-0,077;-0,075;4,129
0,306;0,454;4,373
-0,501;0,26;3,86
0,19;-0,458;4,007
0,272;-0,094;4,943
0,571;0,329;4,582
-0,415;0,177;4,525
0,321;-0,474;4,369
0,097;0,144;4,167
-0,419;-0,052;4,06
0,206;-0,464;4,018
-0,073;0,454;4,139
-0,17;0,346;3,731
-0,337;0,361;4,021
-0,087;-0,424;4,58
-0,332;-0,094;4,208
0,129;-0,245;4,77
-0,321;0,016;4,733
0,031;0,011;3,884
-0,099;-0,017;4,779
-0,3;-0,437;4,323
-0,231;-0,011;4,058
0,212;0,525;4,722
-0,504;0,013;4,306
-0,279;-0,168;4,24
-0,152;-0,025;4,31
-0,031;-0,047;4,015
-0,228;-0,27;4,63
0,061;-0,011;4,755
0,159;0,039;4,006
0,28;-0,155;4,335
-0,219;-0,465;3,988
0,481;-0,192;4,567
0,548;0,46;4,137
-0,405;-0,096;4,114
0,346;0,084;4,827
0,509;0,17;4,738
-0,377;-0,211;4,085
-0,35;0,539;4,578
-0,471;0,26;4,747
-0,439;0,487;4,922
-0,255;0,014;4,476
-0,145;-0,489;4,54
-0,158;-0,372;4,627
-0,543;-0,386;4,205
-0,338;-0,207;4,334
0,116;-0,553;3,966
-0,047;-0,168;4,291
0,231;-0,397;4,179
-0,25;0,288;4,143
-0,254;0,438;3,769
0,143;-0,304;4,738
-0,507;-0,426;3,759
0,001;-0,38;4,37
-0,138;0,45;4,202
-0,004;-0,291;4,68
-0,299;0,104;4,002
-0,428;0,382;3,929
0,452;-0,042;3,946
-0,041;0,018;4,866
0,228;-0,426;3,963
-0,291;0,457;4,612
0,435;-0,157;4,357
0,464;-0,396;4,128
-0,435;0,442;4,515
0,109;0,107;4,247
-0,478;0,528;4,979
-0,593;-0,3;4,074
-155,988;-90,0;9,117
-155,47;-90,0;-94,683
-154,293;90,0;81,87
-179,728;-90,0;179,181
170,418;-90,0;78,316
171,298;-90,0;76,661
171,643;90,0;78,575
172,092;90,0;80,591
171,747;-6,763;75,578
172,477;90,0;76,492
172,647;90,0;73,629
172,794;90,0;75,881
173,793;-90,0;65,144
174,103;-47,375;68,983
174,548;90,0;67,383
174,851;-32,423;59,274
175,144;-13,517;48,897
175,536;90,0;50,398
176,151;90,0;49,493
176,304;7,383;49,52
176,896;74,296;40,291
177,158;48,116;-23,718
177,757;-13,873;-37,434
178,05;12,361;-48,197
178,467;47,587;-54,492
178,601;-24,516;-59,278
178,996;40,053;-64,629
179,898;-27,862;-66,718
